word,difficulty
3CatInfo,8
ACNUR,7
AEMET,8
AIReF,8
ANECA,8
ANOVA,8
ASCII,8
AVAMET,8
Aalborg,8
Aalen,8
Aalsmeer,8
Aalst,8
Aarau,8
Aargau,8
Aarhus,8
Aaron,6
Aarons,8
Abaco,8
Abacuc,8
Abacus,8
Abada,8
Abadal,7
Abadals,8
Abadessa,7
Abadia,6
Abakan,8
Abarca,8
Abarques,8
Abaran,8
Abascal,8
Abbai,8
Abbot,8
Abdalong,8
Abdalla,8
Abdenago,8
Abdera,8
Abdet,8
Abdies,8
Abdies,8
Abdon,8
Abdons,8
Abdul,6
Abelard,8
Abelarda,8
Abelards,8
Abell,8
Abella,6
Abellan,8
Abellana,8
Abellars,8
Abellera,8
Abella,6
Abelli,8
Abello,8
Abels,8
Abenamar,8
Abeokuta,8
Aberci,8
Abercis,8
Aberdeen,8
Abertis,7
AbiWord,8
Abiar,8
Abiatar,8
Abidjan,8
Abidos,8
Abigail,8
Abigail,8
Abiko,8
Abila,8
Abilene,8
Abili,8
Abilis,8
Abile,8
Abimelec,8
Abkhazia,8
Aboisso,8
Abomey,8
Abqayq,8
Abraham,6
Abrahams,8
Abrantes,8
Abrera,7
Abriac,8
Abrian,8
Abriat,8
Abril,3
Abrines,8
Abrucos,8
Absalom,8
Absalons,8
Absalo,8
Absalo,8
Abseron,8
Abuja,8
Abuli,8
Abundi,8
Abundis,8
Abeche,8
Abilia,8
Abundia,8
Acaci,8
Acacis,8
Acaia,8
Acapulco,8
Acard,8
Acari,8
Acaris,8
Accad,8
Accra,8
Acemoglu,8
Acerra,8
Acest,8
Achensee,8
Achernar,8
Acireale,8
Aciscla,8
Aciscle,8
Aciscles,8
Acrel,8
Acrobat,8
Acteo,8
Acurci,8
Acurcis,8
Acursi,8
Acacia,8
Acadia,8
AdWords,8
Adabald,8
Adabalds,8
Adaia,8
Adaja,8
Adalbert,8
Adalbero,8
Adalgot,8
Adalgots,8
Adalric,8
Adalrics,8
Adamaua,8
Adamello,8
Adams,6
Adana,8
Adaptxt,8
Adarro,8
Adasig,8
Adassil,8
Adaucta,8
Adaucte,8
Adauctes,8
Addison,8
Adeba,8
Adeje,8
Adela,8
Adelaida,8
Adelaide,8
Adelard,8
Adelarda,8
Adelards,8
Adelbert,8
Adeles,8
Adelf,8
Adelfa,8
Adelfs,8
Adelina,8
Adelind,8
Adelinda,8
Adelines,8
Adelins,8
Adell,7
Adellac,8
Adelvina,8
Adeli,8
Ademar,8
Ademus,8
Adeodat,8
Adeodata,8
Adeodats,8
Adern,8
Adiabe,8
Adidas,8
Adige,8
Adilons,8
Adilo,8
Adina,8
Adiyaman,8
Adjutori,8
Adjaria,8
Adlert,8
Adlerta,8
Adobe,7
Adolf,6
Adolfa,8
Adolfina,8
Adolfs,8
Adolfi,8
Adonai,8
Adonais,8
Adoni,7
Adonis,7
Adons,8
Adoracio,8
Adorn,8
Adorno,8
Adrall,8
Adrano,8
Adrar,8
Adraen,8
Adria,8
Adriac,8
Adriana,7
Adrians,8
Adria,8
Adrobau,8
Adroer,8
Adroguer,8
Adroher,8
Adrover,8
Adrufeu,8
Adsera,8
Adson,8
Adula,8
Adulf,8
Adulfs,8
Adulis,8
Adullam,8
Adventor,8
Adzope,8
Adalia,8
Adelia,8
Adilia,8
Adilies,8
Afognak,8
Afragola,8
Afres,8
Afrodisi,8
Afrodita,8
Agabi,8
Agabis,8
Agaci,8
Agacis,8
Agadir,8
Agadez,8
Agalega,8
Agape,8
Agapes,8
Agapi,8
Agapis,8
Agapit,8
Agapita,8
Agapits,8
Agatodor,8
Agatons,8
Agatop,8
Agatops,8
Agato,8
Agave,8
Agaña,8
Agbar,7
Agelau,8
Agell,8
Agenes,8
Ageric,8
Agerics,8
Agesilau,8
Ageus,8
Aghbala,8
Agileu,8
Agileus,8
Agilulf,8
Agilulfs,8
Agila,8
Aglae,8
Aglaia,8
Agman,8
Agnel,8
Agnes,7
Agnes,7
Agolada,8
Agomar,8
Agomars,8
Agordat,8
Agost,3
Agostenc,8
Agramunt,7
Agrait,8
Agres,7
Agrici,8
Agricis,8
Agrigent,8
Agripa,8
Agripina,8
Agripins,8
Agripi,8
Agras,8
Agrinion,8
Aguado,7
Aguarico,8
Agudes,8
Aguilar,6
Aguilart,8
Aguiler,8
Aguilera,7
Aguilo,8
Aguirre,6
Aguirres,8
Agullana,8
Agullent,8
Aguller,8
Agulles,6
Agullo,8
Agustina,8
Agustins,8
Agusti,8
Agutzir,8
Aguimes,8
Ahaggar,8
Ahillas,8
Ahlen,8
Ahmed,5
Ahmet,8
Ahumada,8
Ahvaz,8
Ahvāz,8
Aiacor,8
Aialt,8
Aiamans,8
Aiats,8
Aibert,8
Aiberts,8
Aibola,8
Aicard,8
Aicarda,8
Aicardi,8
Aicards,8
Aides,8
Aielo,8
Aiguader,8
Aiguamog,8
Aigueta,8
Aigulf,8
Aigulfs,8
Aimami,8
Aimar,8
Aimara,8
Aimarac,8
Aimars,8
Aimat,8
Aimelina,8
Ainara,8
Ainaud,8
Aines,8
Ainet,8
Aineta,8
Aineto,8
Ainhoa,8
Ainoa,8
Aines,8
Aines,8
Aiora,8
Airasses,8
Airbus,8
Airef,8
Airelles,8
Airolo,8
Airways,8
Aisne,8
Aitana,7
Aiter,8
Aitona,7
Aitor,7
Aitutaki,8
Aitua,8
Aixac,8
Aixala,8
Aixandri,8
Aixel,8
Aixovall,8
Aixura,8
Aixura,8
Aixaviga,8
Aioder,8
Ajaccio,8
Ajaguz,8
Ajantha,8
Ajarquia,8
Ajdabiya,8
Ajmer,8
Akamba,8
Akashi,8
Akhelōos,8
Akhisar,8
Akhtuba,8
Akita,8
Akron,8
Akure,8
Akureyri,8
Akşehir,8
Alabajos,8
Alabal,8
Alabald,8
Alabama,7
Alabart,8
Alabarta,8
Alabau,8
Alabell,8
Alabern,8
Alabert,8
Alabesa,8
Alabir,8
Alabes,8
Alabo,8
Alacant,5
Alacanti,8
Alacreu,8
Aladag,8
Aladina,8
Aladrell,8
Aladreu,8
Aladi,8
Alagoas,8
Alago,8
Alagon,8
Alaior,7
Alairac,8
Alairo,8
Alais,8
Alajuela,8
Alakol,8
Alalia,8
Alaman,8
Alamanda,8
Alamar,8
Alameda,8
Alamir,8
Alamont,8
Alamania,8
Alamus,8
Alamūt,8
Alana,8
Aland,8
Alans,8
Alanyac,8
Alanyo,8
Alaotra,8
Alapedra,8
Alapont,8
Alaquas,8
Alarap,8
Alarco,8
Alardi,8
Alaric,8
Alarica,8
Alario,8
Alart,8
Alari,8
Alaro,8
Alaska,6
Alassio,8
Alasa,8
Alatau,8
Alatri,8
Alavall,8
Alavedra,8
Albacar,8
Albacete,7
Albadars,8
Albages,8
Albages,8
Albai,8
Albaida,6
Albaia,8
Albal,8
Albalac,8
Albalat,7
Albala,8
Albana,8
Albanell,8
Albaneu,8
Albano,6
Albans,8
Albany,8
Albanya,8
Albanes,8
Albarca,8
Albars,8
Albares,8
Albaseda,8
Albasset,8
Albatera,8
Albelda,8
Albella,8
Albenga,8
Albeny,8
Albenya,8
Albera,7
Alberc,8
Alberche,8
Alberdi,8
Alberdi,8
Albereda,8
Alberet,8
Alberg,7
Alberi,8
Alberic,8
Alberica,8
Alberics,8
Alberis,8
Albern,8
Alberola,8
Alberons,8
Albert,4
Alberta,7
Alberti,8
Albertos,8
Alberts,8
Alberti,8
Alberi,8
Albero,8
Albes,8
Albesa,8
Albet,8
Albeu,8
Albiac,8
Albiach,8
Albial,8
Albica,8
Albiges,8
Albina,8
Albines,8
Albinoni,8
Albins,8
Albiny,8
Albinyac,8
Albinya,8
Albinyo,8
Albiol,7
Albir,8
