paraula,nivell
abast,4
abelia,1
abscissa,2
addicio,1
adherent,2
aillar,1
algebra,2
anell,4
angle,4
apotema,1
aresta,3
arrel,4
axial,2
axioma,3
bijeccio,1
binomi,3
biunivoc,1
calcul,2
cardinal,2
catet,2
centil,1
centre,5
cercle,4
cilindre,3
classe,4
clausura,3
compacte,3
comptar,4
concau,1
conjugat,2
conjunt,4
connex,2
convex,2
cosinus,2
decimal,3
derivada,3
diametre,1
diedre,2
digit,2
dimensio,1
discret,3
disjunt,1
divisio,2
divisor,2
element,4
elevar,3
enesim,1
entorn,4
equacio,1
error,4
escale,2
esfera,4
espai,5
espiral,3
exacte,4
exponent,3
extensio,1
exterior,4
factor,4
finit,3
focus,4
folganca,1
formula,3
fraccio,1
frontera,4
funcio,2
generar,4
gradient,2
grafica,2
guarisme,1
guerxat,1
helix,2
hermitia,1
hexaedre,1
hexagon,1
hiperpla,1
hipotesi,1
homogeni,3
ideal,4
imatge,5
implicit,1
induccio,1
infinit,4
inflexio,1
injeccio,1
injectiu,1
integral,4
integrar,4
interior,5
interval,3
invers,3
inversio,2
isogonal,1
isomorf,1
iteracio,1
limit,3
lineal,3
linia,3
mantissa,2
matriu,3
maxim,3
maximal,2
mediana,3
meitat,4
membre,4
menor,4
menys,5
mesurar,4
metric,1
minim,2
minimal,2
mitjana,4
modul,2
monomi,2
monoton,1
morfisme,1
mostra,5
multiple,2
negatiu,4
neperia,1
neutre,3
nombre,5
normal,4
notacio,1
nucli,4
numero,3
obert,4
oblic,2
obtus,1
octaedre,2
operacio,2
ordenada,3
ordenar,4
ordre,5
origen,4
parabola,1
parallel,2
parell,4
particio,1
pendent,4
periode,3
periodic,2
piramide,2
poliedre,2
poligon,1
polinomi,2
positiu,4
potencia,3
prisma,3
producte,4
quadrant,3
quadrat,4
quocient,3
racional,4
radiant,3
radical,4
radicand,1
recte,4
reduir,4
regla,4
regular,4
relacio,2
residu,3
resoldre,4
resta,5
restar,4
reticle,2
rombe,3
rotacio,1
secant,2
segment,3
serie,3
signe,4
simbol,2
simetria,3
simetric,1
singular,4
sinus,2
solucio,2
sumand,1
sumatori,3
suprem,4
tancat,4
tangent,3
tendir,3
tensor,2
teorema,3
teoria,4
terme,5
torsio,1
trapezi,3
trencat,4
triangle,3
triedre,1
uniforme,4
unitari,3
unitat,4
valor,4
variable,4
variacio,1
vector,3
veinat,2
vertex,2
vertical,4
volum,4
xarxa,5
xifra,4
zenit,3
